100,62,79,100,34,94,4,59,0,13,44,0,79,22,85,61
69,100,24,81,0,50,47,36,100,60,80,60,39,32,25,0
26,84,38,100,52,74,30,42,0,15,20,9,62,0,100,18
35,98,6,70,0,25,34,0,77,12,100,50,84,92,41,100
82,100,49,65,0,36,10,27,85,24,100,45,88,27,91,0
49,93,0,55,28,74,63,100,62,50,59,3,24,1,100,0
5,68,45,100,87,83,55,45,10,13,0,12,57,0,100,9
42,100,19,80,0,47,46,36,100,45,100,71,94,36,87,0
56,100,17,72,0,29,34,0,79,20,100,60,74,96,31,83
42,100,19,80,0,47,46,36,100,45,100,71,94,36,87,0
27,93,7,49,15,0,66,1,100,41,91,87,39,100,0,68
16,67,35,100,50,70,36,34,15,0,0,21,48,20,100,9
100,100,68,95,26,98,27,55,70,53,73,15,35,0,0,16
25,93,0,55,22,0,76,5,100,59,61,100,15,67,11,7
100,77,70,100,33,75,31,36,17,0,0,17,39,45,93,62
51,100,18,73,0,34,20,0,63,2,95,31,100,72,66,90
96,65,63,100,0,80,35,48,87,74,100,39,75,0,0,2
0,78,34,100,80,91,63,57,57,43,100,25,72,0,24,1
63,100,33,73,0,46,41,42,100,44,72,65,64,32,49,0
100,100,48,81,14,53,0,24,35,0,97,12,43,29,4,16
45,77,74,100,100,87,74,58,81,40,74,6,37,0,0,11
0,87,37,100,19,70,5,42,88,49,100,58,84,28,88,0
17,100,0,75,1,49,67,46,100,61,88,54,89,27,94,0
0,79,25,100,62,98,69,66,47,37,27,8,63,1,100,0
19,88,62,100,100,81,83,48,47,23,0,6,18,0,72,1
18,59,41,100,76,81,54,35,15,0,0,14,49,14,100,1
72,72,51,100,4,75,44,38,52,0,0,17,41,53,100,81
26,85,68,100,91,79,68,54,83,40,100,16,56,0,0,7
70,61,65,100,15,70,72,34,87,0,0,10,23,50,100,76
3,65,37,55,100,81,54,100,0,75,85,68,69,34,58,0
79,87,98,81,71,100,72,73,100,66,91,21,48,0,0,13
55,95,78,100,71,60,41,27,0,0,1,26,52,21,100,4
22,85,49,100,71,77,45,51,11,30,0,11,51,7,100,0
21,81,0,55,7,10,56,0,97,26,100,71,62,100,15,84
79,100,41,82,0,61,23,45,77,37,86,54,86,25,100,0
0,71,22,100,61,91,49,54,21,22,6,0,53,8,100,7
21,80,8,35,35,0,77,7,100,45,77,88,37,100,0,76
11,93,65,100,98,81,58,56,62,40,100,16,53,0,0,10
3,65,37,55,100,81,54,100,0,75,85,68,69,34,58,0
20,88,1,52,17,7,69,0,100,38,85,84,36,100,0,69
70,100,52,85,22,62,0,39,70,40,100,49,78,25,66,0
0,95,41,97,100,100,80,67,62,23,48,0,17,38,76,42
23,93,30,64,90,36,59,0,12,12,0,54,13,91,100,100
0,95,44,100,76,78,72,39,63,0,52,12,54,40,100,46
33,88,0,51,5,0,69,4,100,50,85,100,28,89,11,39
7,94,57,100,56,62,41,25,30,0,0,33,41,39,100,38
0,100,55,94,72,63,54,31,32,0,13,8,39,28,100,27
100,97,50,100,12,88,6,48,37,47,78,25,50,0,0,2
69,79,48,57,69,19,0,0,30,34,93,63,100,100,37,76
23,100,18,78,36,40,17,0,0,51,21,83,61,84,100,82
24,72,50,100,61,64,33,33,0,12,29,19,64,0,100,10
32,89,0,68,16,24,57,0,97,27,100,72,61,99,10,100
58,100,15,81,0,34,32,0,81,6,100,49,77,92,29,94
23,100,0,71,18,44,72,46,100,70,76,60,56,31,55,0
0,85,26,100,74,89,62,64,61,39,100,21,64,4,7,0
48,99,8,92,50,73,63,100,100,67,99,23,53,0,0,3
9,67,32,100,58,79,43,42,17,8,0,0,49,12,100,1
29,84,1,73,64,48,65,6,0,0,1,47,26,89,100,100
38,87,11,47,18,2,66,0,100,35,91,80,45,100,0,83
4,87,64,61,56,21,0,0,47,36,100,70,99,100,19,78
12,67,14,25,50,0,93,17,100,57,72,91,28,100,0,67
88,95,60,69,74,18,10,0,0,35,67,59,100,100,36,100
30,75,47,100,64,69,47,35,15,8,0,0,50,5,100,0
87,95,34,100,57,77,100,96,88,70,99,28,57,2,0,0
15,100,10,62,39,34,22,0,0,16,7,53,50,69,100,74
0,55,37,75,80,94,100,100,80,76,63,51,47,25,39,0
100,88,54,76,12,80,46,100,79,84,53,54,20,28,0,0
78,94,3,100,22,66,100,35,62,0,0,25,44,66,41,96
